ら戳,Θユ鸭,Θユ髅B,}L基,程蔼基,程C基,ΜL基,害^基t,Θユ掸计
114/09/01,"23,022,319","26,647,241,918","1,150.00","1,165.00","1,145.00","1,165.00",+5.00,"41,416"
114/09/02,"14,994,018","17,436,038,175","1,170.00","1,175.00","1,155.00","1,160.00",-5.00,"24,784"
114/09/03,"20,211,322","23,350,634,915","1,155.00","1,160.00","1,145.00","1,160.00", 0.00,"29,992"
114/09/04,"25,311,450","29,560,102,956","1,170.00","1,175.00","1,160.00","1,160.00", 0.00,"22,577"
114/09/05,"27,931,124","32,835,192,457","1,175.00","1,180.00","1,170.00","1,180.00",+20.00,"24,609"
114/09/08,"28,393,035","33,731,539,720","1,195.00","1,195.00","1,180.00","1,180.00", 0.00,"35,672"
114/09/09,"35,720,097","42,775,822,699","1,195.00","1,200.00","1,190.00","1,200.00",+20.00,"46,420"
114/09/10,"43,516,678","53,209,559,355","1,220.00","1,230.00","1,215.00","1,225.00",+25.00,"82,407"
114/09/11,"34,811,140","43,495,621,610","1,255.00","1,260.00","1,235.00","1,240.00",+15.00,"68,103"
114/09/12,"28,224,895","35,417,505,350","1,255.00","1,260.00","1,250.00","1,260.00",+20.00,"49,823"
114/09/15,"26,019,117","32,646,870,966","1,260.00","1,260.00","1,250.00","1,255.00",-5.00,"34,329"
114/09/16,"42,279,997","53,953,521,005","1,265.00","1,285.00","1,260.00","1,280.00",X0.00,"69,019"
114/09/17,"32,019,276","40,619,705,144","1,270.00","1,275.00","1,265.00","1,265.00",-15.00,"43,783"
114/09/18,"26,442,220","33,782,903,646","1,275.00","1,285.00","1,265.00","1,285.00",+20.00,"32,050"
114/09/19,"48,894,096","62,155,805,270","1,285.00","1,290.00","1,265.00","1,265.00",-20.00,"45,216"
